Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Alan Jackson,Country Boy,Good Time,album,0.73,0.684,-10.803,0.0351,0.259,1.53E-06,0.111,0.564,139.037,4.101333333,Alan Jackson - Country Boy (Official Music Video),alanjacksonVEVO,84857600,413507,12454,TRUE,TRUE,79529702,6,Youtube
Alan Jackson,I Don't Need Your Rockin' Chair - Version w/special guests,The George Jones Collection,album,0.68,0.589,-10.01,0.0247,0.152,0,0.378,0.696,93.865,2.810666667,I Don't Need Your Rockin' Chair (Version w/special guests),George Jones - Topic,128454,1732,6,TRUE,TRUE,55448105,2,Spotify
Alan Jackson,Remember When,Playlist: The Very Best Of Alan Jackson,compilation,0.559,0.301,-10.522,0.0294,0.708,0.000561,0.152,0.25,125.584,4.511333333,Alan Jackson - Remember When (Official Music Video),alanjacksonVEVO,249882562,1099163,43811,TRUE,TRUE,104962016,2,Youtube
Destiny's Child,Say My Name,The Writing's On The Wall,album,0.713,0.678,-3.525,0.102,0.273,0,0.149,0.734,138.009,4.522216667,Destiny's Child - Say My Name (Official Video),DestinysChildVEVO,341811113,1700270,43913,TRUE,TRUE,645113663,5,Spotify
Destiny's Child,"Bills, Bills, Bills",The Writing's On The Wall,album,0.845,0.576,-5.15,0.153,0.139,0,0.0764,0.461,127.641,4.267116667,"Destiny's Child - Bills, Bills, Bills",DestinysChildVEVO,104843215,968294,24208,TRUE,TRUE,232030972,8,Spotify
Destiny's Child,Survivor,Survivor,album,0.514,0.911,-2.027,0.41,0.0559,0,0.775,0.619,161.109,4.233783333,Destiny's Child - Survivor (Official Video),DestinysChildVEVO,170649880,1153168,29031,TRUE,TRUE,386401916,1,Spotify
Destiny's Child,"Jumpin', Jumpin'",The Writing's On The Wall,album,0.771,0.685,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997,3.836666667,Destiny's Child - Jumpinï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ Jumpinï¿,DestinysChildVEVO,49770605,221038,6195,TRUE,TRUE,244936709,13,Spotify
Destiny's Child,"Independent Women, Pt. 1",Survivor,album,0.73,0.602,-3.782,0.206,0.362,3.69E-06,0.169,0.927,97.954,3.68555,"Destiny's Child - Independent Women, Pt. 1 (Official HD Video)",DestinysChildVEVO,72839124,411414,10935,TRUE,TRUE,0,4,Youtube
Destiny's Child,Bootylicious,Survivor,album,0.84,0.835,-4.386,0.275,0.00281,1.11E-06,0.152,0.637,103.376,3.465116667,Destiny's Child - Bootylicious,DestinysChildVEVO,112086731,467969,16368,TRUE,TRUE,198323379,5,Spotify
Destiny's Child,Lose My Breath,Destiny Fulfilled,album,0.814,0.899,-5.958,0.0637,0.00727,0.219,0.0979,0.545,119.011,4.03355,Destiny's Child - Lose My Breath (Video),DestinysChildVEVO,127208450,614864,17410,TRUE,TRUE,104899869,9,Youtube
Destiny's Child,8 Days of Christmas,8 Days Of Christmas,album,0.685,0.8,-1.866,0.202,0.0493,0,0.0799,0.587,99.675,3.489333333,Destiny's Child - 8 Days of Christmas (Official HD Video),DestinysChildVEVO,16274154,171898,4214,TRUE,TRUE,88298034,10,Spotify
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),Destiny Fulfilled,album,0.878,0.417,-6.799,0.361,0.0444,0,0.0833,0.904,77.49,5.426216667,"Destiny's Child - Soldier ft. T.I., Lil' Wayne",DestinysChildVEVO,225592008,1048760,27610,TRUE,TRUE,136912173,5,Youtube
Destiny's Child,Brown Eyes,Survivor,album,0.566,0.573,-7.21,0.0436,0.25,0,0.0723,0.313,116.067,4.60155,Beyoncï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ - brown eyes ( OFFICI,trobelgoss,1301203,6800,341,FALSE,FALSE,58606013,8,Spotify
